make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Toyota,Corolla,34.2793,CVT,10,FWD,2,4,Compact,Y,Natural,Regular,None,N
Toyota,Corolla Hybrid,52,CVT,1,FWD,1.8,4,Compact,N,Natural,Regular,Hybrid,Y
Toyota,Corolla,31.8162,Manual,6,FWD,2,4,Compact,Y,Natural,Regular,None,N
Toyota,Corolla XSE,33.6766,CVT,10,FWD,2,4,Compact,Y,Natural,Regular,None,N
Toyota,Corolla,33.0496,CVT,1,FWD,1.8,4,Compact,N,Natural,Regular,None,N
Toyota,Corolla,33.1228,Manual,6,FWD,1.8,4,Compact,N,Natural,Regular,None,N
Toyota,Corolla XLE,32.2043,CVT,1,FWD,1.8,4,Compact,N,Natural,Regular,None,N
Kia,Soul,29.651,CVT,1,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,N
Kia,Soul Eco dynamics,31.3493,CVT,1,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,N
Kia,Soul,27.0504,Manual,6,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,N
Kia,Soul,28.8021,Manual,7,FWD,1.6,4,Sm St Wagon,Y,Turbo,Regular,None,N
Kia,Sportage FWD,25.6059,Automatic,6,FWD,2.4,4,Sm SUV,Y,Natural,Regular,None,N
Kia,Sportage FWD,22.9526,Automatic,6,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,N
Kia,Telluride FWD,22.5318,Automatic,8,FWD,3.8,6,Sm SUV,Y,Natural,Regular,None,N
Kia,Sportage AWD,23.3388,Automatic,6,AWD,2.4,4,Sm SUV,Y,Natural,Regular,None,N
Kia,Sportage AWD,21.3814,Automatic,6,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,N
Kia,Telluride AWD,20.8926,Automatic,8,AWD,3.8,6,Sm SUV,Y,Natural,Regular,None,N
Mercedes-Benz,GLE350 4matic,22.0525,Automatic,9,4WD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Mercedes-Benz,GLE450 4matic,21.1292,Automatic,9,4WD,3,6,Std SUV,Y,Turbo,Premium,Hybrid,Y
Jaguar,F-Type Coupe,25.6626,Automatic,8,RWD,2,4,Two Seater,Y,Turbo,Premium,None,Y
Jaguar,F-Type Convertible,25.6626,Automatic,8,RWD,2,4,Two Seater,Y,Turbo,Premium,None,Y
Jaguar,XE,28.4037,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Jaguar,XE 30t,26.6827,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Jaguar,XE AWD,27.6136,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
Jaguar,XE AWD 30t,25.0846,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
Jaguar,XF,28.4037,Automatic,8,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Jaguar,XF 30t,26.4949,Automatic,8,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Jaguar,XF AWD,26.6728,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Jaguar,XF AWD 30t,25.463,Automatic,8,AWD,2,4,Midsize,Y,Turbo,Premium,None,Y
Jaguar,XF Sportbrake AWD,24.0099,Automatic,8,AWD,2,4,Mid St Wagon,Y,Turbo,Premium,None,Y
Jaguar,E-Pace,23.8925,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Jaguar,E-Pace P300,23.4266,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Jaguar,F-Pace,23.8056,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Jaguar,F-Pace 30t,23.8019,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Land Rover,Range Rover Velar,23.1444,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Land Rover,Range Rover Velar P300,22.2506,Automatic,8,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Jaguar,F-Type Coupe,22.6919,Automatic,8,RWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type Convertible,22.6919,Automatic,8,RWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S Coupe,21.8371,Automatic,8,RWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S Convertible,21.8371,Automatic,8,RWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S AWD Coupe,20.8635,Automatic,8,AWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S AWD Convertible,20.8635,Automatic,8,AWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,XF AWD,22.6633,Automatic,8,AWD,3,6,Midsize,Y,Super,Premium,None,Y
Jaguar,XF Sportbrake AWD,20.7786,Automatic,8,AWD,3,6,Mid St Wagon,Y,Super,Premium,None,Y
Jaguar,F-Pace,19.8739,Automatic,8,AWD,3,6,Sm SUV,Y,Super,Premium,None,Y
Jaguar,F-Pace,18.1891,Automatic,8,AWD,5,8,Sm SUV,Y,Super,Premium,None,Y
Land Rover,Evoque,22.5652,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Hyundai,Palisade AWD,21.1618,Automatic,8,AWD,3.8,6,Std SUV,Y,Natural,Regular,None,N
BMW,230i Coupe,27.2748,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
Hyundai,Elantra,34,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,None,N
Hyundai,Elantra SE,35.2379,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,None,N
Toyota,GR Supra,26.4025,Automatic,8,RWD,3,6,Two Seater,Y,Turbo,Premium,None,Y
BMW,230i Coupe,24.9272,Manual,6,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,230i xDrive Coupe,24.3879,Automatic,8,AWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,230i Convertible,27.0724,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,230i xDrive Convertible,24.3879,Automatic,8,AWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i Coupe M Performance,24.9871,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i Coupe M Performance,21.6548,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i xDrive Coupe M Performance,24.8442,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i Coupe,24.9871,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i Coupe,21.6548,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i xDrive Coupe,24.8442,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i Convertible,24.9871,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i Convertible,21.6548,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M240i xDrive Convertible,24.8442,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M2 Competition Coupe,20.1642,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M2 Competition Coupe,18.8151,Manual,7,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,430i Convertible,27.0724,Automatic,8,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,430i xDrive Convertible,25.7088,Automatic,8,AWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
BMW,440i Convertible,24.4977,Automatic,8,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Convertible,22.5081,Automatic,8,AWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Convertible,19.8307,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Convertible,18.5025,Manual,7,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Convertible Competition,19.8307,Manual,6,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
BMW,M4 Convertible Competition,18.5025,Manual,7,RWD,3,6,Subcompact,Y,Turbo,Premium,None,Y
Acura,TLX FWD,26.9868,Manual,8,FWD,2.4,4,Compact,Y,Natural,Premium,None,N
Acura,TLX FWD A-SPEC,26.3463,Manual,8,FWD,2.4,4,Compact,Y,Natural,Premium,None,N
Acura,TLX FWD,23.7694,Automatic,9,FWD,3.5,6,Compact,Y,Natural,Premium,None,N
Acura,TLX FWD A-SPEC,23.3109,Automatic,9,FWD,3.5,6,Compact,Y,Natural,Premium,None,N
Acura,TLX AWD,23.051,Automatic,9,AWD,3.5,6,Compact,Y,Natural,Premium,None,Y
Acura,TLX AWD A-SPEC,22.8512,Automatic,9,AWD,3.5,6,Compact,Y,Natural,Premium,None,Y
BMW,330i,29.633,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,M340i xDrive,24.8442,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M340i,24.9871,Automatic,8,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,430i Coupe,27.0724,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,430i Coupe,25.3226,Manual,6,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,430i xDrive Coupe,24.3879,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,430i Gran Coupe,27.0724,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,430i xDrive Gran Coupe,24.3879,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
BMW,440i Coupe,24.9871,Automatic,8,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i Coupe,21.6548,Manual,6,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Coupe,24.8442,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Coupe,21.4433,Manual,6,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i Gran Coupe,24.9871,Automatic,8,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,440i xDrive Gran Coupe,24.8442,Automatic,8,AWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M4 Coupe,20.1642,Manual,6,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M4 Coupe,18.8151,Manual,7,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M4 CS,18.8151,Manual,7,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M4 Coupe Competition,20.1642,Manual,6,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,M4 Coupe Competition,18.8151,Manual,7,RWD,3,6,Compact,Y,Turbo,Premium,None,Y
BMW,740i,24.4977,Automatic,8,RWD,3,6,Large,Y,Turbo,Premium,None,Y
BMW,740i xDrive,22.5081,Automatic,8,AWD,3,6,Large,Y,Turbo,Premium,None,Y
BMW,750i xDrive,19.6254,Automatic,8,AWD,4.4,8,Large,Y,Turbo,Premium,None,Y
BMW,M760i xDrive,15.5255,Automatic,8,AWD,6.6,12,Large,Y,Turbo,Premium,None,Y
Jeep,Gladiator Pickup 4WD,19.0841,Automatic,8,4WD,3.6,6,Std Pickup Truck,N,Natural,Regular,None,Y
Jeep,Gladiator Pickup 4WD,18.707,Manual,6,4WD,3.6,6,Std Pickup Truck,N,Natural,Regular,None,Y
Land Rover,Range Rover Velar,17.3748,Automatic,8,AWD,5,8,Sm SUV,Y,Super,Premium,None,Y
BMW,745e xDrive,21.8005,Automatic,8,AWD,3,6,Large,Y,Turbo,Premium,Plug-in Hybrid,Y
BMW,Z4 M40i,26.4025,Automatic,8,RWD,3,6,Two Seater,Y,Turbo,Premium,None,Y
Nissan,370Z,21.9494,Automatic,7,RWD,3.7,6,Two Seater,N,Natural,Premium,None,N
Nissan,370Z,19.9574,Manual,6,RWD,3.7,6,Two Seater,N,Natural,Premium,None,N
Nissan,370Z Roadster,20.752,Automatic,7,RWD,3.7,6,Two Seater,N,Natural,Premium,None,N
Genesis,G70 AWD,23.0588,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
Genesis,G70 RWD,24.8653,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Genesis,G70 RWD,21.6779,Manual,6,RWD,2,4,Compact,Y,Turbo,Premium,None,N
Hyundai,Veloster,29.749,Automatic,6,FWD,2,4,Compact,N,Natural,Regular,None,N
Hyundai,Veloster,28.2369,Manual,6,FWD,2,4,Compact,N,Natural,Regular,None,N
Hyundai,Veloster,30.2742,Manual,7,FWD,1.6,4,Compact,Y,Turbo,Regular,None,N
Hyundai,Veloster,28.9551,Manual,6,FWD,1.6,4,Compact,Y,Turbo,Regular,None,N
Hyundai,Veloster N,24.7112,Manual,6,FWD,2,4,Compact,Y,Turbo,Regular,None,N
Toyota,Sienna 2WD,21.342,Automatic,8,FWD,3.5,6,Minivan,Y,Natural,Regular,None,N
Toyota,Sienna AWD,20.1322,Automatic,8,AWD,3.5,6,Minivan,Y,Natural,Regular,None,N
Hyundai,Palisade FWD,21.9908,Automatic,8,FWD,3.8,6,Std SUV,Y,Natural,Regular,None,N
Aston Martin,Vantage V8,20.4155,Automatic,8,RWD,4,8,Two Seater,N,Turbo,Premium,None,N
Audi,R8 AWD,15.9153,Manual,7,AWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Lamborghini,Huracan,14.9899,Manual,7,AWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Lamborghini,Huracan Spyder,14.9899,Manual,7,AWD,5.2,10,Two Seater,Y,Natural,Premium,None,N
Aston Martin,DB11 V12,17.7222,Automatic,8,RWD,5.2,12,Minicompact,N,Turbo,Premium,None,N
Aston Martin,DB11 V8,20.4132,Automatic,8,RWD,4,8,Minicompact,N,Turbo,Premium,None,N
Genesis,G70 AWD,19.5855,Automatic,8,AWD,3.3,6,Compact,Y,Turbo,Premium,None,N
Genesis,G70 RWD,20.0929,Automatic,8,RWD,3.3,6,Compact,Y,Turbo,Premium,None,N
Hyundai,Accent,36.2273,CVT,1,FWD,1.6,4,Compact,N,Natural,Regular,None,N
Hyundai,Accent,32.6036,Manual,6,FWD,1.6,4,Compact,N,Natural,Regular,None,N
Hyundai,Elantra,36.0339,Manual,7,FWD,1.4,4,Midsize,Y,Turbo,Regular,None,N
Kia,Sedona,20.5357,Automatic,8,FWD,3.3,6,Minivan,Y,Natural,Regular,None,N
Acura,RDX FWD,24,Automatic,10,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Acura,RDX FWD A-SPEC,23.6383,Automatic,10,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Acura,RDX AWD,23,Automatic,10,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Acura,RDX AWD A-SPEC,22.932,Automatic,10,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
